ctime,ba1_cemscom_rin_1_meas,ba1_cems_01_03_rtd,ba1_wincc_l1hlb12mc001_eng_units,ba1_wincc_l1hlb12cf901_eng_units,ba1_wincc_l1hlb12an001_eng_units,ba1_dcs_110113_speed_ro01,ba1_dcs_110113_04_pnt,ba1_dcs_610713_st3_io01,ba1_dcs_610713_st4_io01,ba1_wincc_l1hdk10ty100_eng_units,ba1_dcs_110104_08_pnt,ba1_cems_01_02_rtd,ba1_cemscom_rin_39_meas,ba1_wincc_l1hla32ct101_eng_units,ba1_wincc_l1hlb12cp101_eng_units,ba1_wincc_l1hlb11cp101_eng_units,ba1_wincc_l1hlb11cf901_eng_units,ba1_wincc_l1hlb11an001_eng_units,ba1_dcs_110107_03_pnt,ba1_dcs_610613_06_pnt,ba1_wincc_l1hha10ct101_eng_units,ba1_wincc_l1hdb11cp120_eng_units,ba1_wincc_l1hla41aa011_eng_units,ba1_dcs_110105_04_pnt,ba1_wincc_l1hdb11cp110_eng_units,ba1_wincc_l1hdb12cp110_eng_units,ba1_wincc_l1hlb11mc001_eng_units,ba1_dcs_110104_03_pnt,ba1_wincc_l1hdb12cp120_eng_units,ba1_wincc_l1output_speed_grate5,ba1_gf_d_fi104,ba1_cems_01_04_rtd,ba1_scr001_xm5102ai_meas,ba1_sncr_tpur_p1_run,ba1_dcs_110105_02_pnt,ba1_sncr_tpur_p2_run,ba1_dcs_610613_07_pnt,ba1_cemscom_rin_5_meas,ba1_wincc_l1hlb17an001_eng_units,ba1_dcs_610621_co2_ro01,ba1_dcs_110107_07_pnt,ba1_scr001_tt5104_meas,ba1_dcs_110111_02_pnt,ba1_wincc_l1hlb13cp101_eng_units,ba1_dcs_110112_04_pnt,ba1_wincc_l1hla17cf101_eng_units,ba1_wincc_l1hlb13an001_eng_units,ba1_scr001_tt5107_meas,ba1_sncr_s4puair_p_pv,ba1_wincc_l1hlb13cf901_eng_units
2021/6/12 0:03,65,84.05799866,78.57470703,23683.04102,893.3636475,1191.505249,302.3301697,8,4,1017.30249,365.3294678,0.239999995,0.210985631,188.6574097,1190.46582,1119.321411,17208.85742,819.5993042,1.52039063,33.77929688,554.947876,101.27314,97.98176575,141.4402161,523.003479,431.1342468,43.6944809,344.1077881,460.7928162,5,3.472222328,0.189999998,6.597222328,1,231.9330902,0,0.404343784,1.815992594,372.9441833,6.679614544,-330.234375,184.6000061,8.162611008,268.5750122,2.52949214,9643.243164,304.6932983,128,2.173223019,1348.268799
2021/6/12 0:03,65.5,84.05799866,78.76139069,23666.33398,892.7213745,1187.460083,303.1434937,8,4,1017.223694,365.2673645,0.239999995,0.199214771,188.7026062,1178.566284,1111.472778,17202.19727,819.2780762,1.518164039,33.77929688,555.208313,98.37962341,97.98176575,141.3833466,510.7059937,438.7297363,43.6944809,343.869812,446.3252563,5,1.851851821,0.189999998,6.611690044,1,231.9073181,0,0.404343784,1.848206162,373.1582642,6.676823139,-334.8046875,184.6000061,8.222849846,268.5750122,2.481093645,9654.128906,304.6932983,128,2.175664663,1347.143555
2021/6/12 0:03,65.5,84.05799866,78.77653503,23676.08008,893.0960083,1199.595459,303.5588074,8,4,1017.25708,365.2673645,0.239999995,0.212135181,188.6483612,1176.034424,1107.421875,17206.63477,819.4921875,1.518984318,33.77929688,555.164917,97.65625,97.97454071,141.4091339,507.4508057,449.9421387,43.5573082,343.6020508,440.5381775,5,2.314814806,0.189999998,6.539351463,1,231.8709717,0,0.404343784,1.837966442,371.0170593,6.677912712,-324.1992188,184.6000061,8.287611008,268.5750122,2.47441411,9561.203125,304.6932983,128,2.1658988,1346.918701
2021/6/12 0:03,65.5,84.05799866,78.58984375,23677.47266,893.1495972,1205.619507,310.0394287,8,4,1017.246155,365.3294678,0.239999995,0.212218001,188.7026062,1181.351318,1112.485474,17198.86914,819.1174316,1.517226577,33.77929688,555.164917,99.82639313,97.99985504,141.321228,513.237854,438.7297363,43.69818497,343.4185181,449.5804443,5,2.314814806,0.189999998,6.618923664,1,231.8451996,0,0.404343784,1.856901765,372.9976807,6.679686069,-319.5703125,184.3999939,8.292132378,269.1731567,2.449921846,9531.862305,304.3721008,127.7999954,2.170781612,1347.593628
2021/6/12 0:04,65.5,84.05799866,78.39811707,23677.47266,893.1495972,1207.598389,316.1652832,8,4,1017.17865,365.3605347,0.239999995,0.185341835,188.747818,1182.364014,1108.687744,17205.52539,819.4386597,1.516288996,33.85742188,555.164917,97.29456329,97.98176575,141.3159485,507.0891113,433.6660767,43.69818497,343.1855774,444.5167542,5,2.314814806,0.189999998,6.597222328,1,231.8709717,0,0.404343784,1.85144949,371.1776733,6.686112881,-319.0429688,184.3999939,8.283089638,268.5750122,2.469257832,9548.376953,304.5862122,127.7999954,2.185430527,1347.593628
2021/6/12 0:04,68.5,83.96800232,78.22151947,23673.29688,892.9890137,1206.900024,324.3763428,8,4,1017.201172,365.3916016,0.239999995,0.198894143,188.747818,1194.516724,1118.055542,17204.41602,819.3850708,1.510429621,33.85742188,555.425354,101.9965286,97.98900604,141.3159485,524.8119507,455.729187,43.5573082,342.9476013,460.7928162,5,2.77777791,0.144999996,6.589988708,1,231.8398895,0,0.404343784,2.474003077,373.3188782,6.740747929,-318.9257813,184.3999939,8.219459534,268.5750122,2.489531279,9524.512695,304.7468262,127.7999954,2.175664663,1347.818726
2021/6/12 0:04,68.5,83.96800232,78.21142578,23680.25977,893.2566528,1199.217163,308.1878052,8,4,1017.111267,365.3605347,0.239999995,0.199121267,188.7116547,1192.997681,1115.523682,17203.30859,819.331665,1.513242126,33.85742188,555.642334,100.1880798,97.99262238,141.2538147,516.8547363,455.3674927,43.55360413,342.7938232,455.3674927,5,2.77777791,0.144999996,6.539351463,1,231.8398895,0,0.404343784,2.496678352,372.9976807,6.77671051,-328.5351563,184.3999939,8.221719742,267.9768372,2.47441411,9579.495117,304.63974,127.7999954,2.175664663,1348.043701
2021/6/12 0:04,68,83.96800232,78.21142578,23676.08008,893.0960083,1201.603516,310.4114685,8,4,1017.133301,365.3605347,0.239999995,0.196468756,188.7568665,1198.314575,1109.953735,17201.08789,819.2245483,1.509374976,33.8671875,555.598938,99.82639313,97.98538971,141.2538147,509.6209412,443.793396,43.69818497,342.6450806,445.963562,5,2.546296358,0.144999996,6.597222328,1,231.8398895,0,0.404343784,2.483114719,373.1047363,6.779634953,-329.7070313,184.6000061,8.164871216,267.9768372,2.498203039,9581.321289,304.63974,128,2.180547476,1346.918701
2021/6/12 0:04,68,87.89199829,78.38802338,23677.47266,893.1495972,1205.590454,310.6796875,8,4,1016.998596,365.2673645,0.239999995,0.210010394,188.7930298,1198.061401,1112.738647,17203.30859,819.331665,1.511835933,33.85742188,555.859375,100.1880798,97.98176575,141.2227478,513.5995483,454.644104,43.56472397,342.5260925,451.7505798,5,2.546296358,0.153999999,6.589988708,1,231.8709717,0,0.404343784,2.459707499,373.1047363,6.761000156,-330.46875,184.3999939,8.097849846,268.5750122,2.517187357,9599.576172,304.318573,127.7999954,2.180547476,1347.143555
2021/6/12 0:04,67.5,87.89199829,78.39811707,23676.08008,893.0960083,1199.566406,306.4919739,8,4,1016.964783,365.3294678,0.239999995,0.180672094,188.8292084,1192.997681,1110.206909,17208.85742,819.5993042,1.512304664,33.85742188,555.815979,99.82639313,97.98538971,141.2227478,511.4293823,430.0491943,43.6944809,342.4121399,446.3252563,5,2.314814806,0.153999999,6.553819656,1,231.8709717,0,0.404343784,2.43938899,373.0512085,6.740450859,-336.9726563,184.3999939,8.04100132,268.5750122,2.478867054,9628.708008,304.63974,127.7999954,2.170781612,1347.143555
